Word,Lesson ID
dignity,1
saunter,1
manuscript,1
reside,1
sufficient,1
warrant,1
admonition,1
digress,1
pelt,1
reverie,1
bound,1
tranquil,1
bracket,1
usher,1
mongrel,1
obscure,1
dialect,1
bereaved,1
mesh,1
daze,1
supernatural,2
vivid,2
stew,2
shaft,2
eerie,2
compel,2
sustenance,2
remote,2
exotic,2
caravan,2
disdain,2
affect,2
unearthly,2
aura,2
arouse,2
bleary,2
indulgent,2
romp,2
pendulum,2
venture,2
abide,3
subtle,3
valiantly,3
scornful,3
stout,3
crest,3
variegated,3
oaf,3
smug,3
flourish,3
aghast,3
retort,3
linoleum,3
slink,3
taut,3
tentatively,3
blight,3
interject,3
grimace,3
cackle,3
emanate,4
pendant,4
strew,4
render,4
involuntarily,4
contented,4
vigorously,4
crisp,4
verbalize,4
reluctantly,4
churn,4
stake,4
inert,4
determination,4
hysterical,4
appropriate,4
tabby,4
exemplary,4
devious,4
bygone,4
carnival,5
championship,5
emancipation,5
endearment,5
federal,5
founder,5
heliocentric,5
integration,5
lunar,5
predict,5
quadrennium,5
quarterback,5
renaissance,5
romantic,5
union,5
cardiac,5
album,6
asteroid,6
decipher,6
groundhog,6
heroism,6
magnum opus,6
poultry,6
stag,6
tariff,6
tremor,6
vestigial,6
heist,7
journal,7
outage,7
pothole,7
predator,7
prestigious,7
rout,7
seismologist,7
treasury,7
vermilion,7
albatross,8
alligator,8
auction,8
blowout,8
pierogi,8
extravaganza,8
fatality,8
kayak,8
mascot,8
nonprofit,8
polar,8
protest,8
respiratory,8
satirical,8
stampede,8
altruistic,9
black hole,9
bronze,9
citizenship,9
crow,9
fellowship,9
layoff,9
lithium,9
outbreak,9
pharaoh,9
policy,9
purge,9
abroad,10
accommodation,10
adventurous,10
board,10
cottage,10
destination,10
foreign,10
hostel,10
identification,10
international,10
itinerary,10
journey,10
local,10
luggage,10
overseas,10
passport,10
resort,10
safari,10
tourist,10
vacation,10
aviation,11
collision,11
commuter,11
congestion,11
cruise,11
direction,11
fare,11
ferry,11
locomotive,11
navigate,11
pedestrian,11
shuttle,11
subway,11
taxi,11
traffic,11
train,11
tram,11
transit,11
transportation,11
vehicle,11
architecture,12
compound,12
construction,12
development,12
engineering,12
exterior,12
facility,12
infrastructure,12
landmark,12
landscape,12
metropolis,12
monument,12
neighborhood,12
outskirts,12
pagoda,12
pavilion,12
residence,12
scenery,12
skyscraper,12
structure,12
accessible,13
alluring,13
coastal,13
cramped,13
diverse,13
dynamic,13
enchanting,13
exotic,13
hectic,13
majestic,13
metropolitan,13
municipal,13
picturesque,13
residential,13
rural,13
rustic,13
scenic,13
sprawling,13
urban,13
vibrant,13
airy,14
charming,14
contemporary,14
conventional,14
cozy,14
functional,14
homely,14
luxurious,14
modern,14
old-fashioned,14
opulent,14
ornate,14
palatial,14
posh,14
quaint,14
shabby,14
spacious,14
swanky,14
tasteful,14
traditional,14
gentile,15
reflexive,15
stark,15
gesticulate,15
manifestation,15
distinguished,15
yeshiva,15
secular,15
incessantly,15
fringe,15
piety,15
repudiation,15
omniscient,15
idle,15
bigotry,15
craven,15
pogrom,15
conscription,15
predecessor,15
ensuing,15
behest,16
aerial,16
glib,16
contrite,16
obsequious,16
desecration,16
covenant,16
brethren,16
perforated,16
gossamer,16
prod,16
implore,16
viscosity,16
wallow,16
stoic,16
monolith,16
stalwart,16
condescend,16
reverberate,16
subsidiary,16
innate,17
ominous,17
impromptu,17
proclivity,17
verbatim,17
rotary,17
inscrutable,17
de facto,17
delinquent,17
slur,17
affront,17
shirk,17
constituent,17
appeal,17
induce,17
brunt,17
astute,17
invoke,17
burgeon,17
congenital,17
gnarled,18
incoherent,18
sustenance,18
orthodoxy,18
subdued,18
precipice,18
tinny,18
maven,18
lathe,18
aback,18
nonplussed,18
vicariously,18
threshold,18
wry,18
plaque,18
prone,18
embed,18
substantial,18
din,18
hunky-dory,18
revamp,19
assume,19
cognitive,19
tuber,19
suspension,19
egress,19
powwow,19
socialite,19
remorse,19
lush,19
recession,19
indigenous,19
sheepishly,19
casually,19
swoon,19
plaque,19
abstract,19
snag,19
pine,19
lax,19
frenzy,20
chide,20
daunting,20
splay,20
frayed,20
relevance,20
glitzy,20
scrutinize,20
spare,20
still life,20
matinee,20
barren,20
playbill,20
intrigue,20
